 //Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
0	Торговец феями		1	449	7	218700,277600	218700,277600	180	Argent City	1	0	r_HeSToP2	0
31	Торговец - Санжи	1	17	4	100321,130662	100321,130662	54	Thundoria Harbor	10	0	r_talk27	0
32	Доктор - Маса	1	406	3	77300,154900	77300,154900	270	Thundoria Castle	8	0	r_talk28	0
33	Банкир - Макурдо	1	24	0	74300,153400	74300,153400	225	Thundoria Castle	8	0	r_talk29	0
34	Кузнец - Фарлингтон	1	22	1	76662,144769	76662,144769	-94	Thundoria Castle	8	0	r_talk30	0
35	Синди	1	11	0	74026,145143	74026,145143	189	Thundoria Castle	8	0	r_talk31	0
36	Посланник Шайтана - Алекс	1	416	0	71220,150827	71220,150827	174	Thundoria Castle	8	0	r_talk32	0
37	Весли	1	19	13	74100,156300	74100,156300	270	Thundoria Castle	8	0	r_talk33	0
38	Бабушка Мая	1	26	0	69761,154269	69761,154269	309	Thundoria Castle	8	0	r_talk34	0
39	Диттер	1	19	2	75450,151200	75450,151200	180	Thundoria Castle	8	0	r_talk35	0
40	Посланник Аргента - Ята	1	416	0	74171,155325	74171,155325	270	Thundoria Castle	8	0	r_talk36	0
41	Капитан стражи - Малак	1	5	0	70657,146515	70657,146515	85	Thundoria Castle	8	0	r_talk37	0
42	Бакалейщик - Куду	1	19	12	72500,155100	72500,155100	135	Thundoria Castle	8	0	r_talk38	0
43	Телепортер - Сара	1	418	7	74364,158606	74364,158606	264	Thundoria Castle	8	0	GoToWhere	0
44	Риоли	1	413	0	102072,127825	102072,127825	-89	Thundoria Harbor	10	0	r_talk39	0
45	Генерал Кен	1	417	0	80800,152100	80800,152100	180	Thundoria Castle	8	0	r_talk40	0
46	Колонел Макси	1	417	0	65323,150512	65323,150512	174	Thundoria Castle	8	0	r_talk41	0
47	Морфей - Фрея	1	11	0	65146,158595	65146,158595	174	Thundoria Castle	8	0	r_talk42	0
48	Стражник - Нельсон	1	12	0	71187,141438	71187,141438	189	Thundoria Castle	8	0	r_talk43	0
49	Стражник - Сонни	1	12	0	71536,141462	71536,141462	189	Thundoria Castle	8	0	r_talk44	0
50	Бей	1	415	0	66976,155428	66976,155428	159	Thundoria Castle	8	0	r_talk45	0
51	Барби	1	410	0	99475,123473	99475,123473	144	Sacred Snow Mountain	12	0	r_talk46	0
53	Администратор Арены	1	11	8	221082,289340	221082,289340	264	Argent City	1	0	r_talk87	0
54	Патрульный - Маркуса	1	12	0	206504,273272	206504,273272	279	Belmont Plains	3	0	r_talk88	0
55	Телепортер - Мабел	1	423	7	62523,210440	62523,210440	84	Chaldea Haven	54	0	transmittal	0
56	Телепортер - Венди	1	418	7	101849,297598	101849,297598	264	Andes Forest Haven	53	0	transmittal	0
57	Доктор - Чиво	1	419	3	63024,209136	63024,209136	179	Chaldea Haven	54	0	r_talk92	0
58	Доктор - Миносева	1	407	3	100473,297362	100473,297362	-4	Andes Forest Haven	53	0	r_talk93	0
59	Фукеи	1	429	0	229090,249599	229090,249599	219	Belmont Plains	3	0	r_talk94	0
60	Хитрон	1	10	0	185822,258524	185822,258524	24	Belmont Plains	3	0	r_talk96	0
61	Кентаро	1	421	0	189434,279865	189434,279865	84	Abandon Mine Haven	55	0	r_talk97	0
62	Бубу	1	418	0	197396,245713	197396,245713	144	Belmont Plains	3	0	r_talk98	0
63	Мелиса	1	423	0	196356,249252	196356,249252	144	Belmont Plains	3	0	r_talk101	0
64	Гадор	1	408	0	150792,310556	150792,310556	114	Rockery Haven	58	0	r_talk102	0
65	Маленький Кувен	1	403	0	163571,260785	163571,260785	204	Belmont Plains	3	0	r_talk103	0
66	Тетушка Мери	1	13	0	214478,255237	214478,255237	204	Belmont Plains	3	0	r_talk104	0
67	Ваала	1	19	0	113652,277829	113652,277829	129	Valhalla Haven	61	0	r_talk105	0
68	Александрис	1	404	0	152621,308970	152621,308970	309	Rockery Haven	58	0	r_talk107	0
69	Старый Кувен	1	420	0	52923,245873	52923,245873	301	Solace Haven	63	0	r_talk108	0
84	Корал	1	434	0	224215,283223	224215,283223	-79	Argent City	1	0	0	0
85	Кит	1	434	0	224249,283735	224249,283735	-94	Argent City	1	0	0	0
86	Морской помощник -  Алена	1	418	9	224774,285824	224774,285824	-45	Argent City	1	0	r_talk150	0
87	Строитель - Симбад	1	10	5	225538,280188	225538,280188	174	Argent City	1	0	r_talk151	0
88	Оператор гавани - Ширли	1	441	9	224367,282625	224367,282625	267	Argent City	1	0	r_talk152	0
89	Дуриан	1	30	0	153500,307147	153500,307147	309	Rockery Haven	58	0	r_talk157	0
90	Лейна	1	28	11	151046,308908	151046,308908	144	Rockery Haven	58	0	r_talk158	0
91	Дон Питт	1	405	0	111335,277922	111335,277922	74	Valhalla Haven	61	0	r_talk129	0
92	Профессор Фенни	1	15	0	113171,277724	113171,277724	270	Valhalla Haven	61	0	r_talk146	0
93	Гуадериус	1	17	11	112316,276629	112316,276629	-119	Valhalla Haven	61	0	r_talk159	0
94	Телепортер - Фелиция	1	11	7	151923,307654	151923,307654	144	Rockery Haven	58	0	transmittal	0
95	Телепортер - Элизабет	1	11	7	112139,278183	112139,278183	354	Valhalla Haven	61	0	transmittal	0
96	Телепортер - Мэй	1	11	7	191216,280233	191216,280233	223	Abandon Mine Haven	55	0	transmittal	0
97	Телепортер - Майли	1	11	7	54307,243775	54307,243775	-90	Solace Haven	63	0	transmittal	0
98	Охранник - Кэл	1	12	0	190914,282038	190914,282038	249	Abandon Mine Haven	55	0	r_talk160	0
99	Берри	1	414	0	189378,281278	189378,281278	219	Abandon Mine Haven	55	0	r_talk147	0
100	Геля	1	444	0	191452,280657	191452,280657	249	Abandon Mine Haven	55	0	r_talk122	0
101	Грег	1	19	11	188351,280526	188351,280526	174	Abandon Mine Haven	55	0	r_talk162	0
102	Линда	1	30	0	51543,243709	51543,243709	279	Solace Haven	63	0	r_talk163	0
103	Дада	1	404	0	58800,238875	58800,238875	189	Solace Haven	63	0	r_talk164	0
104	Грег	1	442	11	52675,243215	52675,243215	54	Solace Haven	63	0	r_talk165	0
105	Оператор гавани - Люфан	1	451	9	325374,330115	325374,330115	219	Zephyr Isle	32	0	r_talk178	0
106	Оператор гавани - Ноел	1	451	9	229932,112280	229932,112280	174	Glacier Isle	36	0	r_talk179	0
107	Оператор гавани - Люсси	1	451	9	362035,74307	362035,74307	204	Outlaw Isle	35	0	r_talk180	0
108	Оператор гавани - Витни	1	451	9	309785,353060	309785,353060	25	Sara Haven	71	0	r_talk181	0
109	Оператор гавани - Дарука	1	451	9	149778,170712	149778,170712	0	Albania Haven	72	0	r_talk182	0
110	Оператор гавани - Витком	1	451	9	204187,135503	204187,135503	0	Hafta Haven	73	0	r_talk183	0
111	Оператор гавани - Фардел	1	451	9	315379,67498	315379,67498	25	Reagen Haven	74	0	r_talk184	0
112	Торговец - Багрес	1	449	4	325401,327828	325401,327828	160	Zephyr Isle	32	0	r_talk185	0
113	Торговец - Саценист	1	449	4	227910,111264	227910,111264	144	Glacier Isle	36	0	r_talk186	0
114	Мужик - Маг 	1	449	4	359506,73919	359506,73919	144	Outlaw Isle	35	0	d_talk021	0
115	Оператор гавани - Вейн	1	445	9	105677,132418	105663,131195	99	Thundoria Harbor	10	0	r_talk207	0
116	Строитель - Аттан	1	445	5	106236,129149	106236,129149	264	Thundoria Harbor	10	0	r_talk210	0
117	Пиратский информатор - Гевас	1	429	6	222422,288373	222422,288373	290	Argent City	1	0	r_talk211	0
118	Флотский информатор - Далонг	1	12	6	220133,281810	220133,281810	170	Argent City	1	0	r_talk212	0
119	Вербовщик флота - RachelРейчел	1	443	6	219402,277468	219402,277468	159	Argent City	1	0	r_talk213	0
120	Фрахтовщик - Хурадар	1	440	9	190742,279862	190742,279862	219	Abandon Mine Haven	55	0	r_talk214	0
121	Фрахтовщик - Фернандо	1	459	9	103877,128848	103877,128848	294	Thundoria Harbor	10	0	r_talk215	0
122	Фрахтовщик - Мокен	1	459	9	152228,309599	152228,309599	294	Rockery Haven	58	0	r_talk216	0
123	Портальщик на остров сундуков 	1	11	7	217800,277500	217800,277500	180	Argent City	1	0	island	0
127	Продавец корралов - Ламон	1	450	4	206177,254366	206177,254366	211	Belmont Plains	3	0	r_talk221	0
129	Симон Гилтер	1	19	0	64672,208875	64672,208875	-95	Chaldea Haven	54	0	r_talk228	0
130	Азур Брезе	1	452	0	62275,210610	62275,210610	0	Chaldea Haven	54	0	r_talk229	0
131	Са Мори	1	401	0	62830,209575	62830,209575	94	Chaldea Haven	54	0	r_talk230	0
132	Карин Ливингстоун	1	440	0	62625,210025	62625,210025	99	Chaldea Haven	54	0	r_talk231	0
133	Парикмахер - Картель	1	19	13	221525,281325	221525,281325	10	Argent City	1	0	r_talk234	0
134	Пукан	1	19	13	188975,280475	188975,280475	240	Abandon Mine Haven	55	0	r_talk235	0
135	Рикка	1	19	13	99675,296937	99675,296937	36	Andes Forest Haven	53	0	r_talk236	0
136	Феррари	1	19	13	111175,276129	111175,276129	129	Valhalla Haven	61	0	r_talk237	0
137	Ветиго	1	19	13	73108,156758	73108,156758	91	Thundoria Castle	8	0	r_talk238	0
138	Айи	1	19	13	63500,209100	63500,209100	180	Chaldea Haven	54	0	r_talk239	0
139	Скупщик - Бинго	1	11	0	223145,271519	223145,271519	264	Argent City	1	0	r_talk242	0
140	Фрахтовщик - Канари	1	459	9	91200,200000	91200,200000	250	Chaldea Tundra	7	0	r_talk243	0
141	Фрахтовщик - Сорарис	1	459	9	187962,296528	187962,296528	205	Belmont Plains	3	0	r_talk244	0
142	Чистильщик	1	724	0	225221,277935	225221,277935	360	Argent City	1	0	r_talk252	0
143	Папа	1	260	0	222275,276827	222275,276827	180	Argent City	1	0	mmm_talk01	0
144	Тощий Работник	1	18	0	215800,279200	215800,279200	351	Argent City	1	1	el_talk03	1
145	Огонь	1	867	0	206400,273500	206400,273500	135	Argent City	3	0	b_talk25	0
146	Огонь	1	867	0	76200,151800	76200,151800	135	Thundoria Castle	8	0	b_talk25	0
147	Печь	1	882	0	75900,147400	75900,147400	0	Thundoria Castle	8	0	b_talk26	0
148	Столяр	1	459	4	226100,271700	226100,271700	0	Argent City	1	0	leo_talkaa	0
149	Мэл	1	10	0	75600,147300	75600,147300	15	Thundoria Castle	8	0	max_talka3	0
150	Бабуля	1	25	0	206400,273700	206400,273700	330	Argent City	3	0	max_talka2	0
151	бабуля	1	25	0	76100,151500	76100,151500	150	Thundoria Castle	8	0	max_talka2	0
155	Сундуки	1	19	13	225400,278900	225400,278900	269	Argent City	1	0	JoJo_01	0
156	Билетная касса	1	838	13	223200,278200	223200,278200	180	Argent City	1	0	r_talkmo1	0
157	Кольца божества	1	755	13	224100,278500	224100,278500	180	Argent City	1	0	wowah5	0
158	Вторая профа	1	883	11	221600,278300	221600,278300	180	Argent City	1	0	dukun_3	0
159	Первая профа	1	886	11	221400,278300	221400,278300	180	Argent City	1	0	dukun_2	0
160	Аппарели - Ланс	1	803	0	222978,279395	222978,279395	354	Argent City	20	0	sky_01	0
161	Аппарели - Карциз 	1	805	2	223178,279395	222978,279395	354	Argent City	20	0	sky_02	0
162	Аппарели - Филлис 	1	804	0	223378,279395	222978,279395	354	Argent City	24	0	sky_03	0
163	Аппарели - Ами	1	810	0	223578,279395	222978,279395	354	Argent City	24	0	sky_04	0
164	Торговец - Уильям 	1	449	13	221725,281325	221725,281325	10	Argent City	1	0	JoJo_03	0
165	Биф - Какао	1	417	0	219200,279000	219200,279000	354	Argent City	8	0	sky_07	0
166	Бакалельщик - Шайтана	1	408	12	220200,272000	220200,272000	269	Argent City	13	0	r_talk55	0
167	Бакалельщик - Льдыни	1	19	12	220200,272600	22020,272600	269	Argent City	20	0	r_talk74	0
												
												
171	Создатель Гильдий 	1	421	0	220500,279200	220500,279200	354		Argent City	20	0	r_talk80	0
172	Печь бессмертия	1	839	9	220200,270200	220200,270200	354	Argent City	24	0	star_talk02	0
173	Бабушка Маг	1	18	15	219800,278900	219800,278900	354	Argent City	1	0	d_talk021	0
												
176	Грязный Джек	1	805	2	218500,278900	218500,278900	360	Argent City	20	0	wowah666	0
70	Ангел 1 Перерождения	1	284	0	219200,276700	219200,276700	120	Аргент	1	0	zsts_talk	0
71	Нагрудник божества	1	18	7	221400,279000	221400,279000	354	Argent City	1	0	wowah1	0
72	Перчатки божества	1	1	7	221200,279000	221200,279000	354	Argent City	1	0	wowah2	0
73	Сапоги божества	1	15	7	221000,279000	221000,279000	354	Argent City	1	0	wowah3	0
74	Ловкий Рэй	1	15	7	220100,277800	220100,277800	269	Argent City	1	0	wowah4	0
75	Администратор Хаоса	1	424	0	219300,278100	219300,278100	210	Argent City	20	0	kk_talk01	0
76	Ожерелье божества	1	755	13	224500,278500	224500,278500	180	Argent City	1	0	wowah6	0
77	Ангел 2 Перерождения	1	284	4	219000,276000	219000,276000	120	Аргент	1	0	JoJo_14	0
79	Хитрюга Бейн	1	268	4	219400,272000	219400,272000	120	Аргент	1	0	wowah8	0
80	Старый король	1	23	8	219300,274600	219300,274600	120	Аргент	1	0	wowah9	0
81	Лавка чудес	1	51	13	222100,278300	222100,278300	180	Аргент	1	0	wowah10	0
82	Сумасшедший Прапорщик	1	809	0	221000,276500	221000,276500	90	Argent City	13	0	n_talk13	0
												
												
												
